V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Fracaso
0.065012,1.543882,0.218812,0.185841,0.097941,1.046727,1.500591,0.314624,0.621128,0.229677,0.71694,0.047818,-0.110638,62,0
0.008332,0.719603,-0.268969,0.014398,0.029874,1.087595,0.538212,0.021158,0.690276,0.425173,0.980404,0.002567,-0.614664,29,0
0.065926,0.008895,-0.439512,0.143183,0.1074,0.143653,0.008895,0.411358,0.003945,0.454086,0.854815,0.003945,0.276246,68,0
0.00804,2.706535,0.55682,0.318911,0.032669,0.752887,1.617183,0.285964,0.883107,0.020735,0.612251,0.033834,0.155262,26,0
0.058004,1.398499,0.147227,0.259978,0.075702,1.301327,0.886894,0.351187,0.51668,0.207635,0.72064,0.071589,0.143012,28,0
0.007291,0.643737,-0.190488,-0.015921,0.052243,1.26503,0.454936,0.386451,0.344195,0.092454,0.921134,0.04006,0.125766,10,0
0.040435,1.967207,0.392779,0.343004,0.082972,1.48738,0.979583,0.187124,0.798875,0.099403,0.593219,0.133692,0.285758,62,0
0.080133,1.585173,0.171987,0.546048,0.089155,0.745419,1.265995,0.13144,0.465896,0.139446,0.425349,0.103377,0.247953,62,0
0.02857,1.04214,0.030911,0.155655,0.06886,1.004878,0.664615,0.046673,0.764457,0.129993,0.780219,0.012474,-0.102096,27,0
0.020464,1.045225,0.031333,0.143345,0.05923,1.013761,0.697036,0.113163,0.724174,0.105487,0.806004,0.017178,-0.079255,27,0
0.0724,1.306276,0.206136,0.152122,0.120114,1.534562,0.946791,0.157835,0.879176,0.428086,0.830875,0.029569,-0.645944,46,0
0.001741,1.052677,0.043569,-0.005643,0.043093,1.10273,0.907583,0.141902,0.870667,0.056147,0.969,0.005735,-0.076047,27,0
0.022032,0.868265,-0.059803,0.314852,0.04226,0.739476,0.256566,0.207831,0.394164,0.065144,0.661798,0.018004,0.121058,10,0
0.00729,1.846784,0.218086,0.065458,0.017961,0.47116,0.99425,0.555331,0.475633,0.038957,0.812878,0.02876,-0.180602,62,0
0.161231,1.604067,0.322141,0.41508,0.232289,0.886433,1.315177,0.014727,0.855427,0.356717,0.548013,0.017241,-0.490649,62,0
-0.390817,0.541341,-0.447397,-0.570841,-0.502816,0.617344,0.446485,0.125388,0.528049,3.875801,1.100835,0.094021,0.346538,14,1
0.022254,1.025225,0.014677,0.22421,0.055828,0.737431,0.529646,0.175862,0.596503,0.09184,0.757689,0.025133,-0.184312,46,1
-0.134895,0.92291,-0.043639,-0.149455,-0.12408,1.208509,0.623302,0.17181,0.522435,-0.514639,0.737884,0.05383,-0.070741,45,1
0.033207,1.09196,0.053214,0.200022,0.088861,1.151905,1.001983,0.217914,0.631872,0.163238,0.796573,0.120776,-0.150996,10,1
-0.018512,0.525737,-0.123946,-0.052435,0.002372,0.300621,0.494491,0.752166,0.137398,1.370294,1.013509,0.025336,0.003283,59,1
-0.259872,5.867569,0.131565,0.866332,-0.259813,0.29818,5.560198,0,0.158594,-0.267092,0.027029,0.138434,-8.360897,72,1
-0.13295,1.315894,0.120415,-0.407907,-0.168693,0.430298,0.548936,0.573528,0.501602,-2.935882,0.954715,0.024122,0.013052,22,1
0.002545,1.975233,0.077507,0.194099,0.023269,0.094443,1.945392,0.344118,0.156981,0.004415,0.423593,0.036131,0.363978,62,1
0.027345,1.102191,0.066276,0.150842,0.08151,0.590034,0.907813,0.195175,0.714828,0.174984,0.843727,0.007214,0.038911,47,1
-0.11796,0.951973,-0.026866,0.101422,-0.071209,0.59966,0.56707,0.290075,0.532522,-0.783593,0.849462,0.000163,0.058101,43,1
-0.1629,3.611639,0.617679,0.305768,-0.233066,0.117481,3.449802,0.258291,0.854188,-0.322447,0.494801,0.49674,-0.507011,11,1
-0.064907,1.173546,0.029523,0.155085,-0.079516,0.115901,1.045627,0.572096,0.199639,-0.251783,0.742212,0.000785,-0.25844,72,1
-0.792254,0.808577,-0.153703,0.000785,-0.538643,1.516726,0.665695,0.193942,0.649248,-255.044841,0.996894,0.172853,-0.024009,62,1
-0.080514,1.482169,0.187011,-0.038416,-0.106117,0.752267,0.612869,0.225816,0.574865,-0.208406,0.613669,0.00447,-0.033661,13,1
0.001912,1.492122,0.214003,-0.104618,0.030234,0.488427,0.875389,0.438173,0.648861,0.015062,0.873031,0.00214,0.037858,14,1
0.045086,1.002212,0.000637,-0.367335,-0.112346,0.275751,0.994271,0.66584,0.288379,0.971304,0.953582,0.007341,0.269626,2,1
-0.08458,2.771168,0.076278,-0.013587,-0.106262,0.036722,0.942386,0.836335,0.119345,-0.701337,0.879401,0.017674,0.166296,71,1
0.006037,1.104218,0.028494,0.128545,0.009048,0.541125,1.049985,0.464538,0.301898,0.023036,0.737943,0.022758,-0.094559,62,1
-0.08776,0.853469,-0.064331,-0.174035,-0.110788,0.014646,0.654555,0.335449,0.374694,-0.389135,0.774474,0.003284,-0.001413,13,1
-0.252021,1.237416,0.031551,0.21058,-0.383563,0.179408,1.085748,0.649013,0.164445,-1.155566,0.781907,0.046769,-0.307033,59,1
-0.288601,0.307077,-0.566693,-0.970898,-0.331393,1.547309,0.038989,0.396907,0.251137,1.343987,1.214737,0.028313,-0.134857,47,1
-0.366154,1.737262,0.134994,-0.346065,-0.059028,0.979311,0.777417,0.815483,0.318095,-258.567638,0.998584,0.005414,-0.021886,25,1
-0.213715,1.785263,0.158259,-0.881983,-0.240895,0.042906,1.766959,0.801752,0.359795,64.988199,1.003288,0.158555,-0.280325,61,1
-0.404172,2.378855,0.34358,0.075847,-0.43527,0.55308,0.382593,0.585132,0.592758,-2.439315,0.83431,0.005202,0.118637,45,1
0.015182,1.110674,0.020546,0.048461,0.062956,0.554945,0.99851,0.674881,0.206186,0.108852,0.860522,0.003817,0.022181,10,1
