Beneficio neto/Total Activo,Activo Corriente/Pasivo Corriente,(Activo Corriente-Pasivo Corriente)/Total Activo,Beneficio retenido / Total Activo = (Reservas año posterior – Reservas año actual) / Total Activo,(Beneficio neto + Gastos financieros + Impuestos) / Total Activo,Ventas / Total Activo,(Tesorería + Deudores) / Pasivo Corriente,Pasivo no corriente / Total Activo,Activo corriente / Total Activo,Beneficio neto / Patrimonio neto,Total deudas / Total activo,Tesorería / Total Activo,(Beneficio neto + Dotación amortizaciones – Deudores año actual – Existencias año actual + Deudores año anterior + Existencias año anterior) / Total deudas,CNAE,Fracaso
0.015768034,1.652692747,0.29193153,0.527114664,0.022029931,1.10954763,1.642831469,0.022822984,0.739204044,0.02975637,0.4700955,0.158290449,-0.325064255,28,0
0.055508725,1.043323386,0.03897383,0.080041995,0.094559094,1.905235333,1.043206681,0,0.9385764,0.552889902,0.899602571,0.259109467,-0.323179154,47,0
0.022779051,1.074536654,0.05732885,0.114291246,0.05082175,0.965700446,0.883323762,0.037671413,0.826465221,0.117908741,0.806807782,0.064486909,-0.314035856,43,0
0.02660918,1.227691049,0.18123721,0.189724502,0.030135253,0.639554087,0.323822931,0.013917287,0.97721585,0.139971552,0.809895926,0.013163956,-0.296642868,43,0
-0.218668303,1.69558025,0.16058120,-0.165962618,-0.189075421,0.158653362,1.438110489,0.599848303,0.391440545,-1.291658817,0.830707648,0.00721119,-0.284579794,02,1
0.047641713,1.252362891,0.19651417,0.201647282,0.072268448,0.745324338,0.52033706,0.019149825,0.975210961,0.235671304,0.797846613,0.042903588,-0.268395503,43,0
0.015576871,1.213666804,0.12477763,0.111126787,0.054107585,0.730160685,0.49981952,0.258505385,0.708759915,0.098893028,0.842487672,0.003761766,-0.266325311,01,0
0.030525466,1.332569213,0.20816876,0.134112718,0.054322308,0.649505707,1.145878904,0.212324542,0.834109939,0.188738298,0.838265716,0.055323258,-0.265122735,71,0
0.000122837,0.738008562,-0.14155433,0.000131419,0.002963547,0.047391796,0.727392239,0.327646541,0.398747029,0.000930218,0.8679479,0.168547358,-0.255137862,17,0
-0.085157373,1.060508634,0.04893828,0.035697634,-0.095779831,1.543058927,0.647666097,0.069050449,0.857720035,-0.697050332,0.877832205,0.038621075,-0.245967476,46,1
0.028302807,1.245510327,0.17643241,0.154691674,0.092677209,1.154557022,0.5849572,0.075967644,0.895067781,0.137795635,0.794603019,0.016055539,-0.238631801,46,0
0.038673993,1.860710988,0.22757676,0.122992964,0.067767629,0.634339952,0.818740283,0.294118821,0.491982307,0.08760162,0.558524368,0.037638143,-0.237377875,47,0
-0.222185527,1.211549569,0.09473638,-0.365558511,-0.252205109,1.513078677,0.690370138,0.438391396,0.542557575,-1.952637189,0.886212591,0.037944237,-0.229442348,47,1
0.046051952,1.030409176,0.01696672,0.109658272,0.066263663,0.691239549,0.927463738,0.262265916,0.57491424,0.256147899,0.820213432,0.109382381,-0.22512059,43,0
0.012821075,1.175252927,0.12193033,-0.005718898,0.064145036,1.146929545,0.674297824,0.043386111,0.817669509,0.049146616,0.739125292,0.01685471,-0.21762117,16,1
0.023554515,1.186909778,0.09534851,0.018310022,0.033045876,0.694761791,1.088824806,0.213900906,0.605479724,0.085352379,0.724032118,0.211117268,-0.213219303,25,0
-0.244743236,0.595161858,-0.31336242,-0.367110394,-0.319641644,1.059465624,0.083221398,0.163045747,0.460681295,-3.890342815,0.93708946,0.040119647,-0.212037221,47,1
0.03493548,1.173661172,0.12516527,0.096257721,0.073817413,1.640894212,1.155790121,0.081894769,0.845909426,0.177013018,0.80263892,0.003072345,-0.211015481,62,0
-0.036830431,1.131651612,0.08482616,-0.108363646,-0.067168472,0.390603533,0.801904299,0.299686157,0.729149157,-0.657789401,0.944009153,0.184668007,-0.209298764,41,1
0.030614105,1.162011539,0.12259590,-0.013211674,0.080857536,2.175499064,1.155974053,0.135919411,0.87930679,0.28512799,0.892630305,0.02534109,-0.207406306,62,0
0.044403934,1.295939771,0.18321411,0.160736748,0.085968095,1.225103257,1.150557959,0.178698469,0.802306666,0.219594278,0.797791026,0.023558543,-0.203175338,71,0
-0.261312698,0.861415608,-0.01501282,-0.299788452,-0.261108228,0.658983312,0.861415608,1.179634785,0.093316976,0.90743497,1.287964579,0.052049419,-0.198928408,62,1
0.063970141,1.317993145,0.21626058,0.207211318,0.126920137,3.147027886,1.04412172,0.05340943,0.896339968,0.24002798,0.733488815,0.09616429,-0.196087897,46,0
0.229034381,2.238255308,0.50968950,0.240756903,0.276246359,1.025829585,2.22589104,0.342805302,0.921308567,0.932636878,0.754424371,0.345641448,-0.195299432,71,0
0.003331009,1.004973752,0.00408858,0.013680372,0.037247468,1.098518378,0.556019475,0.113261292,0.826120427,0.051478455,0.935293136,0.00562482,-0.195259097,25,0
0.013745868,1.23714749,0.15437911,0.208302052,0.048597286,1.258733088,1.144591474,0.110722253,0.805362634,0.057684435,0.761705778,0.074316449,-0.193004193,59,1
0.046046118,1.357447555,0.20733387,0.224078222,0.073560474,0.950474713,1.087833234,0.068179303,0.787373841,0.130894373,0.648219274,0.050422908,-0.187845219,61,0
0.003093811,4.957393737,0.60934949,0.553306467,0.005902388,0.902473637,4.956715118,0.284512022,0.76332697,0.005509801,0.438489497,0.327661581,-0.184238068,72,0
0.006551166,1.505777872,0.14304580,0.046463168,0.039075349,0.257053648,0.955413879,0.428115285,0.425869161,0.022663582,0.710938648,0.000792214,-0.182240348,31,0
0.00728978,1.846783596,0.21808636,0.065458412,0.017960577,0.471159645,0.994249631,0.555331326,0.475633107,0.038957304,0.812878073,0.028759812,-0.180601892,62,0
-0.19505137,0.97466692,-0.01829211,-0.719612725,-0.171826362,1.779792988,0.385349629,0.518968259,0.703772177,0.809232493,1.241032549,0.130376218,-0.177921694,45,1
0.028229567,0.99133086,-0.00503796,0.100255772,0.068540093,0.826725932,0.467161818,0.208598537,0.576098945,0.134257358,0.78973544,0.008194713,-0.176378399,22,0
-0.079343969,1.134911288,0.04250759,-0.249196251,-0.090938925,0.017962711,1.04157609,0.437990394,0.357585679,-0.321319731,0.753068482,0.050527812,-0.175795126,13,1
0.001418878,6.738843664,0.58907698,0.18266294,0.016433611,1.222796913,6.738843664,0.551556008,0.691724316,0.004103214,0.654203339,0.490392584,-0.173070681,74,0
0.110750734,1.897950516,0.42109544,0.310361118,0.142342336,0.685277225,1.359953952,0.163389603,0.890047166,0.301232481,0.632341327,0.004818417,-0.172601941,26,0
0.03076218,2.669352943,0.34746678,0.278744762,0.062237925,0.808607718,0.959298982,0.283352487,0.55561137,0.06049559,0.491497075,0.039275142,-0.164446025,47,0
0.012576442,1.250171108,0.11045970,0.026099381,0.027994792,0.753117819,1.250171108,0.241761669,0.551996287,0.03971053,0.683298258,0.105237646,-0.159811487,46,0
0.005641717,1.073808554,0.04948718,0.170644959,0.047933113,0.917011615,0.705809285,0.137158889,0.71996746,0.029328827,0.80763917,0.103796467,-0.157479117,13,0
0.177385231,1.453341458,0.27992229,0.331545273,0.237400986,1.671568733,1.075159277,0.029791401,0.897386864,0.502872391,0.647255975,0.11407323,-0.156317885,43,0
0.003470895,1.024779149,0.01667696,0.125775949,0.046890157,0.672219035,0.614203301,0.158515248,0.689700794,0.020603551,0.831539084,0.001952674,-0.154739824,28,0
0.023881853,1.133235403,0.08693001,0.141959263,0.067973407,1.308581787,0.772778963,0.083190628,0.739384285,0.090340004,0.735644905,0.006179709,-0.15067999,43,0
8.16885E-05,3.323545134,0.38432394,0.414900022,0.015727235,0.262088457,3.263163073,0.114440484,0.549728057,0.000113432,0.279844604,0.430384539,-0.150204503,72,0
-0.087766015,2.987080377,0.40733156,-0.095096131,-0.087766015,0,2.987080377,0.361802355,0.612321541,-0.202595711,0.566792333,0.551379552,-0.148284799,71,1
0.001926403,1.698169625,0.24278191,0.293546714,0.010076698,0.623729254,1.547638704,0.302509779,0.590522493,0.005507949,0.650250361,0.280684005,-0.147435474,61,0
0.031501016,1.066312471,0.04751681,0.058563228,0.069161112,2.279404002,0.309364051,0.208440566,0.764076042,0.420012398,0.924999795,0.153878552,-0.137151998,31,0
0.002695155,0.859758337,-0.04310685,0.191524713,-0.000472279,0.077709943,0.280524133,0.401117655,0.264268634,0.009245598,0.708493138,0.002658798,-0.129819613,03,0
0.000968445,1.261680334,0.08413997,-0.087179309,0.036804664,0.371340635,0.378132508,0.620962519,0.405677204,0.016842457,0.942499753,0.00013507,-0.121789894,26,0
0.013460186,0.866649093,-0.05562963,0.177608763,0.044354205,0.436887794,0.611648511,0.201771689,0.3615376,0.035322909,0.618938917,0.009044674,-0.115521107,22,1
0.082643382,1.060220961,0.03988361,0.223509186,0.1151354,1.048053271,0.561045391,0.095313169,0.702171424,0.34093943,0.757600984,0.04875125,-0.113306167,28,0
0.001837832,10.78271724,0.64422241,-0.024461026,0.035827425,0.074072493,1.778887356,0.715808532,0.710075527,0.008417345,0.781661648,0.000799321,-0.112921993,01,0
0.065012441,1.543881918,0.21881228,0.185841329,0.097940693,1.046726799,1.500591224,0.314624426,0.621128061,0.229677415,0.716940208,0.047818172,-0.110638206,62,0
0.066471842,1.965093974,0.34988832,0.132104275,0.110719046,1.470981606,1.936005619,0.337190438,0.712431581,0.221376299,0.699733701,0.130939108,-0.108831699,62,0
0.005914732,0.887347719,-0.07219404,0.106115026,0.0326491,0.929394246,0.54352377,0.199662579,0.568663308,0.037087622,0.84051993,0.003672177,-0.108610008,28,0
0.096012094,1.861571403,0.43894804,0.410348612,0.145875435,2.261808593,1.667471027,0.000899627,0.948421827,0.196091955,0.510373411,0.044918031,-0.108252565,28,0
0.028570051,1.0421397,0.03091141,0.155654857,0.068859703,1.004878082,0.664615187,0.046672909,0.764457448,0.129993237,0.780218947,0.01247395,-0.102096405,27,0
0.009451412,1.191631124,0.10043989,0.13354597,0.01984618,0.747179514,0.994715085,0.19055872,0.624571269,0.033126791,0.714690102,0.056480184,-0.101307636,71,0
0.016562723,2.945229783,0.41510114,0.327161616,0.007502017,0.311267904,2.625357041,0.381304181,0.628495543,0.040865198,0.594698581,0.078979261,-0.10094259,86,0
0.028302305,1.38340199,0.22101223,0.2429404,0.042920803,2.124057002,1.354602979,0.027783411,0.797462617,0.071512688,0.604233801,0.5314702,-0.100823652,82,1
0.06531027,1.777825728,0.23688834,0.167535439,0.099943522,0.827075461,1.014950439,0.174117062,0.541440283,0.125276016,0.478669007,0.017649338,-0.100506715,59,0
0.052966205,1.574727233,0.15444734,-0.054558874,0.077421356,0.010364318,0.306976099,0.650389839,0.423178888,0.654880881,0.919121388,0.052878936,-0.094979522,01,0
0.034077914,1.010494187,0.00338074,0.123079054,0.065751113,0.531889783,0.903993466,0.407265913,0.325534511,0.125943803,0.729419682,0.025275487,-0.094545572,25,0
0.024731123,1.085904851,0.04701484,0.128768987,0.066491585,0.801994325,0.493761395,0.214881937,0.594304557,0.103987283,0.762171653,0.017515198,-0.091584273,22,0
-0.177466488,0.916486905,-0.03933040,-0.233463122,-0.206340976,0.170453962,0.514797982,0.613732634,0.431618492,2.095693097,1.084681525,0.029370273,-0.087824892,16,1
0.044834483,1.058067401,0.03101400,0.218180054,0.067326348,0.443412137,0.853168837,0.142413659,0.565117459,0.138599243,0.676517119,0.010231038,-0.086557977,71,0
0.002161396,1.515162927,0.26801893,0.07174174,0.074572397,0.815912424,0.75734517,0.38567918,0.788279457,0.022978835,0.905939703,0.015184046,-0.084769906,11,0
0.004459879,1.514065355,0.10102481,0.005153656,0.031475689,0.098346138,1.156549246,0.479969776,0.297546155,0.013785956,0.676491118,0.124891416,-0.083844905,08,0
0.020301343,1.34229618,0.17220144,0.106373496,0.061845538,0.679186376,0.995081649,0.275074337,0.675278765,0.091509981,0.778151657,0.037870503,-0.083728744,71,0
-0.580179155,0.412824264,-0.56671125,-0.684487392,-0.527038829,1.872979837,0.302800883,0.253321743,0.398436343,2.655654914,1.218469332,0.000800844,-0.081667731,10,1
0.16664764,1.499562388,0.27632092,0.313672559,0.225119818,1.263049411,1.433247639,0.061222615,0.829446871,0.43211985,0.614348566,0.278614716,-0.081175094,96,0
0.040931968,1.253188357,0.16561159,0.127061378,0.12095792,3.510816149,0.829906392,0.141239258,0.819715883,0.200003311,0.79534355,0.039740243,-0.079700452,46,0
0.024669064,1.575370987,0.21395180,0.09360037,0.053206799,1.038553419,1.570382637,0.306690558,0.585801969,0.076740869,0.678540728,0.08221824,-0.079342244,33,0
0.020463998,1.04522453,0.03133338,0.14334465,0.059230285,1.013760934,0.697035913,0.113163249,0.724173851,0.10548659,0.806003715,0.017178455,-0.079255036,27,0
0.013235041,2.473056593,0.28547378,0.366900406,0.038469978,0.374198866,2.327058147,0.427671794,0.479270673,0.034964191,0.621468683,0.235749408,-0.07662167,62,1
0.005564785,0.71818406,-0.16488136,-0.020161562,0.022107943,0.842663103,0.685513146,0.186062837,0.420186177,0.024314214,0.771130372,0.047624599,-0.075732704,46,0
0.249040325,1.578100553,0.35489420,0.368069732,0.386096952,1.586764496,1.234396532,0.007344838,0.968791198,0.657518044,0.62124184,0.229824238,-0.073311289,46,0
0.085433822,1.792395639,0.37409620,0.382707371,0.108003615,1.342262503,1.21802712,0.017824864,0.846204057,0.167495201,0.489932717,0.034118297,-0.072661491,28,0
-0.097294785,0.692314723,-0.26348265,-0.025016877,-0.070387261,0.930401737,0.593076237,0.089729357,0.592855519,-1.804011037,0.946067522,0.018481733,-0.072235164,22,1
0.007810375,0.932147146,-0.05042505,0.120689446,0.038647252,1.117240267,0.626665778,0.103112788,0.692727982,0.050804405,0.846265824,0.027618327,-0.071757252,22,0
0.002679696,1.126115712,0.06500358,0.059110017,0.037487343,0.607281336,0.360044597,0.285998657,0.580431662,0.013494746,0.801426739,0.011643263,-0.068156511,46,0
0.056854807,10.47194561,0.67187263,0.119049701,0.040941118,0.52899714,9.943313366,0.5821227,0.742805537,0.163872967,0.653055606,0.387249511,-0.068115464,72,0
0.018575532,1.01032053,0.00398180,0.2879225,0.046059425,0.910675558,0.69715525,0.286603908,0.389795343,0.056704888,0.672417451,0.010623208,-0.06761176,22,0
0.000261466,3.701671978,0.28117053,0.318548746,0.010929301,0.055403825,2.274443683,0.427559299,0.38524332,0.000558249,0.531632086,0.039114999,-0.065705976,72,0
0.026347891,0.751647019,-0.14741644,0.209323388,0.05857364,0.678587134,0.319931235,0.173772787,0.446159843,0.113250745,0.767349069,0.001570606,-0.06546009,10,0
0.046644697,2.398467684,0.27656504,0.206304121,0.088407118,0.697597284,0.943892873,0.34316181,0.474327949,0.101605769,0.540924721,0.035028032,-0.064631818,47,0
0.006533356,1.01634684,0.00809214,0.260781876,0.063352425,0.683084652,0.515573329,0.241246624,0.503119653,0.024773286,0.736274141,0.005449137,-0.062800476,46,1
0.013491017,1.169386008,0.08649478,0.136876664,0.073600442,0.778915559,0.867156783,0.277402161,0.597131848,0.063648653,0.788039234,0.005758595,-0.062056472,24,1
0.038748086,0.889014321,-0.05280083,0.098707445,0.063854387,0.679283792,0.684257959,0.265737232,0.422943728,0.149885327,0.741481793,0.012947566,-0.056734256,16,0
0.019897927,1.172325755,0.04926272,0.095229877,0.036816338,0.498613314,0.358783189,0.288203215,0.335132436,0.046716747,0.574072936,0.01401093,-0.054370139,47,0
0.260370946,1.853979239,0.31092804,0.334441991,0.196272036,1.236951175,1.617895513,0.16918593,0.675021252,0.557872956,0.53327914,0.073956214,-0.05372258,62,0
0.003272882,1.421520118,0.20066673,0.233376177,0.021894431,0.747529544,0.596916807,0.266450806,0.67672166,0.012710506,0.742505736,0.006659963,-0.053160878,27,0
0.065616989,1.66290712,0.27342014,0.312555989,0.088340458,1.608878605,1.641569202,0.089003028,0.685876314,0.131618094,0.501459206,0.037066772,-0.052061747,62,0
0.073985931,1.252299272,0.12543863,0.199385174,0.124210951,0.889529903,0.815846984,0.260595328,0.622620544,0.305445823,0.757777238,0.037434472,-0.04682075,73,0
0.02453452,2.419985177,0.38445205,0.246534355,0.04024697,1.115665973,2.284641533,0.434020752,0.65519575,0.083101513,0.704764456,0.097431146,-0.044682236,78,0
0.002725338,1.819427757,0.17221581,0.056249811,0.055991252,0.248611455,0.407923103,0.624441853,0.382381761,0.016478031,0.834607802,0.026737066,-0.0434333,26,0
0.006111733,1.173518866,0.08087106,0.190209439,0.035996116,0.598461124,0.473905023,0.337260097,0.546935982,0.031075299,0.803325022,0.018420291,-0.043265755,13,0
0.026206439,1.210450209,0.04876312,0.015646081,0.037212544,0.357263162,1.039172143,0.440950253,0.280471716,0.08005849,0.672658847,0.034259833,-0.042081575,62,0
-0.127778415,0.565739413,-0.19154838,0.191209381,-0.161449828,0.024749914,0.333983429,0.336733523,0.249542485,-0.575123489,0.777824385,0.049900224,-0.040785616,62,1
